No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
543,2010,Emergencia ambiental,"Excellence Freights de México, S.A. de C.V.",San_Luis_Potosí,Matehuala,"Km 151+900 carretera nacional No. 57 México-Piedras Negras, tramo el retorno a San Luis Potosí-Matehuala",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petroquímicos,Hidrocarburos,8.64,17.28,Si,-100.61,23.664
1325,2012,Pasivo ambiental,Pemex Refinación,San_Luis_Potosí,Matehuala,Terminal de almacenamiento y Reparto Matehuala,Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos de  fracción media y pesados,Hidrocarburos,282.41,515.23,Si,-100.644,23.666
907,2011,Pasivo ambiental,Gobierno del estado de San Luis Potosí Secretaría de Ecología y Gestión Ambiental (Villa de la Paz) ,San_Luis_Potosí,Villa de La Paz,"Calle Hidalgo, Mina, Corregidora y Cuauhtémoc",Derrames y/o fugas,Minería de otros minerales metálicos,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Metales, metaloides",Metales y metaloides,4687.39,15624.6,Si,-100.711,23.675
1216,2012,Pasivo ambiental,Minera Real Bonanza S.A. de C.V.,San_Luis_Potosí,Catorce,"Hacienda Santa Ana, localizada en la Luz, Fracción del Refugio",Derrames y/o fugas,Minería de otros minerales metálicos,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Hidrocarburos, metales, metaloides",Mezcla de contaminantes,N.E.I.,N.E.I.,No,-100.921,23.698
2381,2021,Emergencia ambiental,"Transportes Ráfagas del Golfo, S.A. de C.V.",Tamaulipas,Victoria,"Km 13 carretera federal (500) Ciudad Victoria - entronque carretera Soto la Marina, tramo Ciudad Victoria - Casas",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,242,435.6,No,-99.01,23.718
1912,2017,Emergencia ambiental,"Transportes Especializados Antonio Garza Ruiz, S.A. de C.V.",Tamaulipas,Victoria,"Intersección de carretera federal No. 83, dirección Hidalgo-González, con carretera federal No. 70 km 63, acceso a Ciudad Victoria",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,286,40.9,Si,-98.995,23.719
2228,2020,Emergencia ambiental,"Comercializadora de Combustible Gutasa, S.A. de C.V.",Zacatecas,Villa de Cos,Km 124+700 carretera Saltillo Zacatecas ,Derrame,Comercio al por mayor de combustibles,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",Petrolíferos,Hidrocarburos,1209.6,967.68,Si,-101.859,23.73
2310,2021,Emergencia ambiental,"Regio Transportación, S.A. de C.V.",San_Luis_Potosí,Matehuala,Km 16+000 carretera federal No. 57,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,276.2,167.12,Si,-100.588,23.758
1755,2015,Emergencia ambiental,Pemex Refinación,Tamaulipas,Victoria,"km 238+754.22 poliducto de 12""-10"" Ø Madero-Cadereyta",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,12549,17798.05,Si,-99.116,23.797
2449,2021,Emergencia ambiental,Héctor Manuel Portales Ávila,Sinaloa,Elota,"Km 081+930 carretera 1570 Mazatlán-Culiacán directo, tramo el Venadillo-Costa Rica",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,223,447.1,Si,-106.891,23.855
