No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
770,2011,Pasivo ambiental,Ferrocarriles Nacionales de México en Liquidación,Chiapas,Tapachula,"Calle 16 Poniente y Central Sur, colonia Centro, C.P. 30700",Fuga,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos de  fracción media,Hidrocarburos,78.5,235.5,Si,-92.268,14.899
1165,2012,Emergencia ambiental,"Transportadores de Líquidos del Norte, S.A. de C.V.",Chiapas,Pijijiapan,"Km 129+000 carretera No. 200 Tepic-Puente Talismán Chiapas, tramo Tonalá-Pijijiapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,16.692,23.4,Si,-93.33,15.762
1478,2013,Emergencia ambiental,Alma Ruth Gutiérrez Vera,Oaxaca,San Pedro Huamelula,"Km 288+900 camino nacional No. 200 Tepic-Puente Talismán, tramo Bahías de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,522.5,176.75,Si,-95.885,15.881
1398,2013,Emergencia ambiental,"Línea Transportadora Monchis, S.A. de C.V.",Oaxaca,San Pedro Huamelula,"Km 290+400 camino nacional No. 200 Tepic-Puente Talismán, tramo Bahía de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,118,172,Si,-95.885,15.889
324,2009,Emergencia ambiental,"Comisión de Contratos, S.C.",Chiapas,Tonalá,"Km 089+200 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos, limites de los estados de Chiapas y Oaxaca ",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,2175.41,2531.65,Si,-93.624,15.967
756,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,Salina Cruz,Carretera Transísmica km 1,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,7.5,9.72,Si,-95.203,16.203
1319,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 005+650 combustoleoducto de 16” Ø, Refinería Ing. Antonio Dovalí Jaime-Terminal Marítima Salina Cruz de la Línea 1, del derecho de vía 45, colonia Hugo Mayoral",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,101.16,240.58,Si,-95.217,16.208
1320,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 001+490, 1+520 y 1+535 oleoducto de 48"" Ø Nuevo Teapa-Salina Cruz dentro de la Refinería ""Ing. Antonio Dovalí Jaime""",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,3063.43,12125.99,Si,-95.182,16.211
1326,2012,Emergencia ambiental,Eusebio Santana Vega,Chiapas,Arriaga,"Km 7+250 camino nacional No. 200 Tepic-Puente Talismán, en el tramo libramiento Arriaga-Chiapas",Derrame,Otro autotransporte local de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,377.63,755.26,Si,-93.868,16.219
1192,2012,Emergencia ambiental,"Carel Express, S.A. de C.V.",Chiapas,Arriaga,"Km 030+600 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos-límites de los estados Chiapas/Oaxaca",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,1015.09,1670,Si,-94.012,16.228
2404,2022,Emergencia ambiental,"Gasolinera Cristóbal Colón de Juchitán, S.A. de C.V.",Chiapas,Arriaga,Km 009+700 carretera Ocozocuautla,Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,680,568,No,-93.86,16.302
2307,2021,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 180+600 carretera No. 190 Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,275,301,Si,-95.773,16.399
2252,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+100 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,144,180,Si,-95.797,16.408
2253,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+050 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,175,262.5,Si,-95.797,16.408
980,2011,Emergencia ambiental,Pemex Refinación,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Km 216+000 poliducto de 16"" Ø Minatitlán-Salina Cruz ",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos,Hidrocarburos,10507.16,37687.01,Si,-95.079,16.412
737,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,Acceso principal sobre la carretera Panamericana km 821 colonia Felipe Pescador,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,N.E.I.,3.42,No,-95.02,16.446
2060,2019,Pasivo ambiental,"Ferrocarriles Nacionales de México en Liquidación (enajenante)  Fomento del Itsmo de Tehuantepec, S.A. de C.V. (adquiriente) Responsable de la remediación ",Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Estación de ferrocarril de Juchitán, línea K del ferrocarril del km 014+280 al 015+335.09",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos ligeros,Hidrocarburos,2000,N.E.I.,No,-95.025,16.452
336,2009,Emergencia ambiental,Pemex Refinación,Oaxaca,Asunción Ixtaltepec,Km 200+125 del derecho de vía No. 39-Transísmico-Minatitlán-Salina Cruz,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,60148.14,121397.26,Si,-95.073,16.491
2367,2022,Emergencia ambiental,"Transpac, S.A. de C.V.",Oaxaca,Ciudad Ixtepec,"Km 47+600 carretera 510 L, ruta 185-D, libramiento de La Ventosa-Salina Cruz",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos ligeros,Hidrocarburos,263,N.E.I.,No,-95.17,16.519
32,2008,Emergencia ambiental,"Transportes Yucarro, S.A. de C.V.",Oaxaca,Nejapa de Madero,Km 129+900 carretera No. 190 México-Ciudad Cuauhtémoc tramo Totolapan-El Camarón ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,703,345,No,-96.033,16.585
1344,2012,Emergencia ambiental,"Autotanques Herca de Ocozocoautla, S.A. de C.V.",Chiapas,Huixtán,"Km 217 carretera No. 186 San Cristóbal-Ococingo, en el tramo Rancho Nuevo-Oshuck",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,506.39,354.47,Si,-92.484,16.695
1557,2014,Emergencia ambiental,"Consejo Tacuates, S.A. de C.V.",Guerrero,San Marcos,Km 74 comunidad El Roble,Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,125.8,257.2,No,-99.271,16.747
68,2008,Pasivo ambiental,"Organización Ideal, S. de R.L. de C.V.",Guerrero,Acapulco de Juárez,"Playa Revolcadero S  colonia Granjas del Marques, C.P. 39894",Derrames y/o fugas,Hoteles con otros servicios integrados,Servicios de alojamiento temporal,Petrolíferos,Hidrocarburos,240,576,No,-99.823,16.792
2460,2023,Pasivo ambiental,"Ferrocarriles Nacionales de México en Liquidación (enajenante)  Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V. (adquiriente) Responsable de la remediación",Oaxaca,Matías Romero Avendaño,"Km 202+582 al 203+596 de la línea férrea Z, calle 5 de Febrero Sur 105, No. 105, colonia Centro, C.P. 70300 (Ex instalaciones de FNML en Matías Romero)",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos,Hidrocarburos,13500,28086.96,Si,-95.044,16.88
2321,2022,Emergencia ambiental,"Servicio Especializado Velázquez, S.A. de C.V.",Chiapas,Ocozocoautla de Espinosa,Km 164 carretera Las Choapas - Ocozocoautla,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,77,105,Si,-93.489,16.987
740,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,Putla Villa de Guerrero,Paraje El Pajon poblado de Malpica a 250 metros sobre el acceso lateral km 2 de la carretera federal No. 125 Pinotepa nacional-Putla,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,0.06,0.45,Si,-97.912,17.01
1321,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,San Juan Guichicovi,"Km 161+500 ex oleoducto de 30” Ø, Nuevo Teapa-Salina Cruz, derecho de vía 41, Ejido de Sarabia",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,175.71,105.42,Si,-95.013,17.074
736,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,San Agustín Yatareni,"El Tabichi y camino a la planta con acceso por la carretera Oaxaca, San Agustín yatareni km 5",Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,54.97,70,Si,-96.679,17.08
721,2011,Emergencia ambiental,Pemex Refinación,Oaxaca,Matías Romero Avendaño,"Km 154+610 ex oleoducto de 30"" Ø Nuevo Teapa-Salina Cruz, Ejido de Nuevo Progreso ",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,13504.54,3755.41,Si,-95.035,17.135
1090,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,Matías Romero Avendaño,"Km 152+557 del derecho de vía 41, del oleoducto 30” Ø Nuevo Teapa-Salina Cruz, Ejido Nuevo Progreso",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,2994.03,5438.28,Si,-95.03,17.147
1830,2016,Emergencia ambiental,"Translíquidos Especializados Apolo, S.A. de C.V.",Chiapas,Tecpatán,Km 138+000 carretera federal No. 145D Las Choapas-Ocozocoautla,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,215.5,100,Si,-93.589,17.168
82,2008,Emergencia ambiental,"Sociedad Cooperativa de Autotransportes 13 de Julio, S.C.L.",Tabasco,Cárdenas,Km 110+300 carretera de cuota No. 180D Las Choapas-Ocosocuautla ,Derrame,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,Autotransporte de carga,Petrolíferos,Hidrocarburos,126,126,Si,-93.596,17.371
240,2009,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Jesús Carranza,"Km 122+950 oleoducto de 30"" Ø Nuevo Teapa-Salina Cruz",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,2391,1386.5,Si,-95.011,17.399
682,2011,Emergencia ambiental,"Express y Tanques Especializados, S.A. de C.V.",Guerrero,Petatlán,"Km 193+200 camino nacional No. 200 Tepic-Puente Talismán Chiapas, tramo Coyuquilla-Zihuatanejo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,750.23,446.32,Si,-101.216,17.442
769,2011,Pasivo ambiental,"Ferrocarriles Nacionales de México en Liquidación (enajenante)  FONATUR Tren Maya, S.A de C.V. (adquiriente) Responsable de la remediación",Tabasco,Tenosique,"Transferencia: Km 395+713.47 al 397+381.80 línea férrea, calle 7 de noviembre S , colonia Luis Donaldo Colosio, C.P. 86904. Propuesta: Calle Periférico S ",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos de  fracción media,Hidrocarburos,437,291,Si,-91.43,17.461
221,2009,Emergencia ambiental,"Flensa, S.A. de C.V.",Guerrero,Petatlán,"Km 184+900 carretera federal No. 200 Tepic-Puente Talismán, Chiapas, tramo Cayuquilla-Ixtapa Zihuatanejo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,530.25,730.23,Si,-101.265,17.535
2461,2023,Pasivo ambiental,Pemex Exploración y Producción,Chiapas,Pichucalco,Activo de producción Macuspana Muspac en la Ranchería Platanar Abajo (1 sección) o la Crimea (Presa y área aledaña del quemador de fosa de la Batería de separación y estación de compresión Sunuapa),Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,668.24,1875.44,Si,-93.295,17.596
2148,2019,Pasivo ambiental,Pemex Exploración y Producción,Chiapas,Pichucalco,Quemador de la fosa de separación y estación de compresión Giraldas,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,1648.63,2832.71,No,-93.357,17.658
1750,2015,Emergencia ambiental,Pemex Exploración y Producción,Chiapas,Juárez,Área aledaña a la Batería de Separación Artesa Activo de Producción Macuspana-Muspac ,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,549,227.67,Si,-93.157,17.722
1797,2016,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Jalapa,"Oleoducto de 8"" Ø Agave-Entronque Sitio Grande km 0+462, perteneciente al Activo de Producción Macuspana-Muspac, ubicado en la ranchería Río Teapa",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,5375,8158.03,No,-92.92,17.758
1242,2012,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Jalapa,"Oleoducto de 8"" Ø km 001+800 área de trampas de agave a interconexión oleogasoducto de 6"" Ø Río Nuevo a Batería Sitio Grande del Activo de Producción Macuspana-Muspac, de la Subdirección de Producción Región Sur, ubicado en km 028+000 de la carretera Villahermosa-Teapa de la Ranchería Río Teapa",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,37780.56,30558.25,Si,-92.915,17.766
1430,2013,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Oleoducto de 16"" Ø de Batería Bacal a Batería de Separación Ogarrio, en el poblado de Francisco Rueda",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,564.85,847.28,Si,-93.925,17.828
1605,2014,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Quemador elevado de la Batería de Separación Jujo, (Presa de recibo y tajo a cielo abierto)",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,10434.75,8023.97,Si,-93.498,17.868
1224,2012,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Macuspana,"Presa de Terracería de la Batería Vernet, el sitio se ubica en el Ejido Corral Nuevo ",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,802.6,916.45,Si,-92.622,17.892
1519,2013,Emergencia ambiental,Pemex Exploración y Producción,Chiapas,Reforma,"Laguna El Limón, en el cruce de líneas que convergen en el área de trampas Cactus IV y acometen el área de Pemex Exploración y Producción, en el complejo Procesador de Gas Cactus (oleoducto de 16"" Ø Sitio Grande-Cactus fuera de operación km 15+300), ubicado en Ranchería San Miguel 2da. Sección, Chiapas carretera Reforma-Boca Limón desviación izquierda a la colonia el Carmen, km 3.5 (Estación de Compresoras Cactus IV), desviación derecha a 1.1 kilómetros",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,36592.83,29200.79,Si,-93.18,17.898
183,2008,Pasivo ambiental,Pemex Gas y Petroquímica Básica,Veracruz_de_Ignacio_de_la_Llave,Texistepec,"Unidad  Minera Texistepec Ex CEDI (Compañía Exploradora del Istmo), camino a Jáltipan, calle Libertad",Derrames y/o fugas,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,Industria química,"Ácidos, petroquímicos",Mezcla de contaminantes,N.E.I.,N.E.I.,No,-94.809,17.904
993,2011,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,"Presa de Terracería del Pozo Tecominoacán 123, ubicado en el poblado de Mecatepec",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1975.72,5927.13,Si,-93.551,17.906
991,2011,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Huimanguillo,Área aledaña a la Batería Tecominoacan sitio ubicado en la Ranchería Arrollo Hondo 2da. Sección,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,706.47,373.72,Si,-93.523,17.911
1443,2013,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Moloacán,"Área aledaña a la Batería Cuichapa 2, en la comunidad de Cuichapa",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,3774.29,1203.32,Si,-94.287,17.941
2444,2023,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Centro,"Activo de producción  Samaria- Luna, R/A Buenavista Río Nuevo 1ra. Sección (Presa de desperdicios del Pozo Samaria 261)",Depósitos de residuos peligrosos,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1090.88,2682.11,Si,-93.065,17.954
908,2011,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Centro,"Pozo Samaria 254, Activo Integral Samaria-Luna de la Subdirección en Región Sur",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,919.9,275.97,Si,-93.089,17.958
1505,2013,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Centro,"Presa de desperdicios y Presa de quema del Pozo Samaria 251, ubicado en Ranchería Buena Visto Rio Nuevo 1ra. Sección",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,4280.93,4672.5,Si,-93.073,17.959
112,2008,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Michoacán_de_Ocampo,Lázaro Cárdenas,Placa kilométrica NE-0184+000 patio de maniobras de la Terminal Ferroviaria Lázaro Cárdenas,Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,60,N.E.I.,Si,-102.238,17.965
833,2011,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Centro,"Oleoducto de 24"" Ø de la Batería de Separación Samaria III a Batería de Separación Samaria II, km 001+152, Activo Integral Samaria-Luna de la Subdirección en Región Sur",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,324.4,502.82,Si,-93.093,17.968
1937,2017,Emergencia ambiental,"Procesadora de Especialidades IMM, S.A. de C.V.",Tabasco,Centro,"Km 156+500 carretera Villahermosa-Cárdenas, Ranchería González 1ra. Sección",Incendio,Fabricación de productos metálicos forjados y troquelados,Fabricación de productos metálicos,Hidrocarburos pesados,Hidrocarburos,2100,462,Si,-93.06,17.978
1348,2012,Pasivo ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Minatitlán,"Refinería ""General Lázaro Cárdenas"" en avenida Díaz Mirón No. 119, colonia Obrera, C.P. 96740",Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos pesados,Hidrocarburos,32200,N.E.I.,No,-94.525,17.99
2464,2023,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,Activo de producción Samaria-Luna en la R/a Cumuapa 2da sección (Área aledaña a la macropera Samaria 42),Fuga,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,3606,5685.95,Si,-93.087,17.995
168,2008,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Carretera federal No. 180, Cárdenas-Villa Hermosa km 13.5 entronque de la entrada al campo Samaria-Rancheria Cumuapa 2da. Sección del Activo Integral Samaria-Luna",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1142.12,1138.8,No,-93.088,17.998
1474,2013,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Oleoducto de 16” Ø Samaria II-Nudo Cárdenas km 4+680, en la Ranchería Cuapa 2da. Sección",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,69517.77,49947.26,Si,-93.135,18
1676,2015,Emergencia ambiental,"Dowell Schlumberger de México, S.A. de C.V.",Tabasco,Centro,"Área de estacionamiento de unidades pesadas de la empresa Dowell Schlumberger de México, S.A. de C.V., km 7 carretera Villahermosa-Cárdenas, Ranchería Lázaro Cárdenas",Derrame,Perforación de pozos petroleros y de gas,Servicios relacionados con la minería,Petroquímicos,Hidrocarburos,1062,1787.2,No,-92.992,18.003
1646,2014,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Pozo Jolte 63  y áreas aledañas en el poblado Miahuatlán, 2da. Sección ",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,7001.41,11046.74,Si,-93.3,18.003
1645,2014,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,Ranchería Miahuatlán 2da. Sección ,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,5304.28,8777.09,Si,-93.308,18.008
996,2011,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,"Oleoducto de 36"" Ø Castaño-Palomas, en el km 026+548 poblado C-27",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,5835.2,3244.17,Si,-93.556,18.012
376,2009,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Minatitlán,"Margen izquierda del Arroyo San Francisco, al norte de la autopista Cosoleacaque-Puente Dovalí, aledaño a la Refinería Gral. Lázaro Cárdenas",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,"Petróleo crudo, petrolíferos",Hidrocarburos,18700,3050,Si,-94.492,18.015
2250,2020,Emergencia ambiental,"Petro Transportes, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Minatitlán,"Km 025+000 carretera federal No. 180D, tramo Minatitlán-Mundo Nuevo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,1385.5,1714.57,Si,-94.524,18.015
671,2011,Emergencia ambiental,"Amoniaco Industrial del Bajío, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,San Andrés Tuxtla,"Km 149+200 carretera nacional No. 145D La Tinaja-Cosoleacaque, tramo km 090+000-retorno km 167+400",Derrame,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",Otros contaminantes no normados,Otros contaminantes no normados,307,535.34,Si,-95.282,18.019
2344,2022,Emergencia ambiental,"Petrolera Cárdenas Mora, S.A.P.I. de C.V.",Tabasco,Cárdenas,Acometida de la trampa de envío del oleogasoducto (fuera de operación temporal) de 8” Ø x 2.180 km del cabezal Cárdenas 107 a la batería Cárdenas norte,Derrames y/o fugas,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,124.28,99.42,Si,-93.442,18.02
1643,2014,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,Pozo Edén 62 y áreas aledañas R/A calzada 2da. Sección,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,6086.67,8325.56,Si,-93.361,18.022
992,2011,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cárdenas,Pozo Cárdenas 439 sitio ubicado en la Ranchería Francisco Villa,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media,Hidrocarburos,571.84,431.42,Si,-93.449,18.033
1716,2015,Emergencia ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Km 002+280 oleoducto de 16"" Ø Batería de Separación Cunduacán a Batería de Separación Samaria II en la Ranchería Gregorio Méndez",Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,2675,5348,Si,-93.093,18.039
1527,2013,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Presa de desechos  de la Batería Iride, en la colonia Santa Isabel, en el Ejido Gregorio Méndez",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,566,677.36,Si,-93.064,18.04
2447,2023,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Activo de producción Samaria- Luna, colonia Santa Isabel, Ejido Gregorio Méndez (Presa de decantación del pozo Íride 5166 e Íride 166-B)",Depósitos de residuos peligrosos,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,280.39,644.9,Si,-93.062,18.041
2462,2023,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Activo de producción Samaria- Luna, colonia Santa Isabel, Ejido Gregorio Méndez (Presa de quema del pozo Íride 5166 e Íride 166B)",Depósitos de residuos peligrosos,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,599.19,719.25,Si,-93.062,18.041
2477,2023,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Cunduacán,"Activo de producción Samaria-Luna, colonia Santa Isabel, Ejido Gregorio Méndez (Presa de desechos del Pozo Íride 5166 e Íride 166-B)",Depósitos de residuos peligrosos,Extracción de petróleo y gas natural asociado,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,948.25,1013.41,Si,-93.062,18.041
