No. de registro,Clasificación de técnica o proceso de tratamiento,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Responsable técnico de la remediación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Técnica o proceso de tratamiento,Año de conclusión de la remediación,Área de suelo remediado m²,Volumen de suelo remediado m³,x,y
103,Biológicos,2008,Pasivo ambiental,Aeropuertos y Servicios Auxiliares,"Universidad Nacional Autónoma de México, Instituto de Ingeniería ",Chiapas,Tapachula,Estación de combustible del Aeropuerto de Tapachula ubicada en el km 18.5 carretera Puerto Madero ,Derrames y/o fugas,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,3.14,73.16,"3,542,237.41","346,808.42"
1891,Biológicos,2017,Emergencia ambiental,"Petro Asfaltos del Sureste, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Km 11+500 carretera No. 225 Tapachula-Puerto Madero-Ciudad Hidalgo, tramo Tapachula-entronque Jaritas",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,135,145,"3,546,809.56","352,072.31"
1634,Biológicos,2014,Emergencia ambiental,"Operadora de Líneas de Transportes, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Libramiento sur-oriente, dentro de la pensión Santa Fe",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,209.3,345.34,"3,553,076.73","354,835.50"
1618,Biológicos,2014,Emergencia ambiental,"Transportes Especializados Santana González, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Km 229+100 camino nacional No. 200 Tepic-Puente Talismán, tramo Carretero Tapachula-Escuintla",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,458.25,195,"3,514,497.99","395,341.77"
2245,Biológicos,2020,Emergencia ambiental,"Operadora de Líneas de Transportes, S.A. de C.V.","EQS Consulting Group, S.A. de C.V.",Chiapas,Villa Comaltitlán,Km 228+300 carretera No. 2530 Tepanatepec-Talismán,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2022,267,257.66,"3,513,758.43","395,866.70"
244,Biológicos,2009,Emergencia ambiental,"Petroquímicos Ruices, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Mapastepec,"Km 196+300 camino nacional No. 200 Tepic-Puente Talismán, tramo Mapastepec-Tapachula",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2009,50,125,"3,487,152.30","412,691.08"
135,Biológicos,2008,Emergencia ambiental,"Autotanques Nacionales, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Pijijiapan,"Km 174+500 carretera No. 200 Tepic-Puente Talismán, tramo Escuintla-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,114,125,"3,470,076.41","424,845.99"
655,Biológicos,2011,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Chiapas,Pijijiapan,"Km 170+000 carretera federal No. 200 Tepic Puente Talismán, en el tramo Escuintla-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2012,80,96,"3,466,191.54","427,696.79"
836,Biológicos,2011,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Pijijiapan,"Km 156+600 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos-Escuintla",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,293.56,395,"3,455,266.43","434,767.89"
331,Biológicos,2009,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,San Pedro Huamelula,"Km 255+300 carretera federal No. 200, tramo Bahías de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2010,600,150,"3,132,307.43","435,862.21"
49,Biológicos,2008,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Tonalá,"Km 099+800 carretera federal No. 200 Tepic-Talismán, tramo Arriaga-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2008,90,348,"3,407,945.96","463,480.00"
1327,Biológicos,2012,Emergencia ambiental,"Especialíquidos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santiago Astata,"Km 336+900 camino nacional No. 200 Tepic Nayarit-Puente Talismán, tramo Santiago Astata-Salina Cruz, poblado La Cotorra",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2015,255,130,"3,194,098.77","459,488.34"
347,Biológicos,2009,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 347+100 camino nacional No. 200 Tepic Nayarit-Puente Talismán, tramo Santiago Astata-Salina Cruz",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2011,1215,637.5,"3,202,498.87","461,853.62"
102,Biológicos,2008,Emergencia ambiental,"Sociedad Cooperativa de Autotransportes 13 de Julio, S.C.L.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 371+300 carretera federal No. 200 Tepic, Colima-Puente Talismán, tramo Santiago Astata-Salina Cruz",Derrame,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,"Transporte terrestre de pasajeros, excepto por ferrocarril",Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2008,248,164,"3,215,452.21","474,447.10"
1612,Biológicos,2014,Emergencia ambiental,"Transportes Albser, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tonalá,"Km 066+500 camino nacional No. 200 Tepic-Puente Talismán, tramo Carretero Arriaga-Tonalá",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2016,18.75,29.75,"3,381,510.36","483,188.84"
52,Biológicos,2008,Emergencia ambiental,"Transportes de Gas Rodher, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Arriaga,"Km 035+500 carretera federal No. 200 Tepic-Puente Talismán, tramo Tapanatepec-Arriaga",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2008,475,385,"3,359,345.16","495,201.44"
1135,Biológicos,2012,Emergencia ambiental,"Transportes Auto Tanques Ochoa, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santiago Jamiltepec,"Km 026+250 camino nacional No. 200 Tepic-Puente Talismán, tramo Pinotepa nacional-El Charco Nundayoo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2013,66.5,87.05,"2,944,411.86","484,948.75"
284,Biológicos,2009,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santiago Pinotepa Nacional,"Km 027+300 carretera federal No. 200 Acapulco-Salina Cruz, tramo Pinotepa Nacional-El Charco",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,115,115,"2,945,138.42","485,056.96"
1404,Biológicos,2013,Emergencia ambiental,"Transportadores de Líquidos del Norte, S.A. de C.V.",Ana Lilia Sánchez Hernández,Chiapas,Arriaga,"Km 14 carretera Arriaga-Ocozocoautla, tramo carretero Arriaga-Tierra y Libertad",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2016,157.5,141.75,"3,371,969.78","506,938.39"
1449,Combinación de procesos biológicos,2013,Emergencia ambiental,"Transportes Especializados Ivancar, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 250+500 del carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio a un lado del sitio contaminado y en el sitio contaminado,2016,88,198,"3,223,757.61","499,305.82"
372,Biológicos,2009,Emergencia ambiental,"Transportadora y Distribuidora Isabel, S.A. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 247+000 carretera federal No. 190, México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,150,150,"3,221,037.53","499,755.83"
192,Biológicos,2009,Emergencia ambiental,"Autotanques Sigza, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 023+250 carretera No. 200-D Tepic-Puente Talismán, tramo Salina Cruz-La Ventosa",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2010,205,184.5,"3,209,528.37","499,402.03"
1407,Biológicos,2013,Emergencia ambiental,"Transportes Yucarro, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 023+400 camino nacional No. 185D Coatzacoalcos-Salina Cruz, tramo caseta de peaje Ixtepec-Salina Cruz",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2016,195,390,"3,219,585.37","500,374.98"
1166,Biológicos,2012,Emergencia ambiental,"Transportes David Durán García, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 231+400 carretera federal No. 190 México-Ciudad Cuauhtémoc, en el tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2013,167.28,168.24,"3,208,093.02","505,019.93"
1262,Biológicos,2012,Emergencia ambiental,"Autotransportes Martínez, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Jalapa del Marqués,"Km 230+000 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Otro autotransporte local de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2013,688.8,425.47,"3,207,869.08","505,438.44"
58,Biológicos,2008,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 231+000 carretera federal No. 190 México Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2008,328,492,"3,207,879.73","505,445.08"
1096,Biológicos,2012,Emergencia ambiental,"Translíquidos del Norte, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 231+900 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2015,157.24,338.06,"3,207,870.28","505,660.27"
306,Biológicos,2009,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santiago Pinotepa Nacional,"Km 233+500 carretera federal No. 200 Acapulco-Salina Cruz, en el tramo Pinotepa Nacional",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,148,72,"2,916,782.81","495,000.39"
1226,Biológicos,2012,Emergencia ambiental,"Caessa Transportaciones, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 180+550 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec, en jurisdicción de La Reforma",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2013,494.55,510.19,"3,166,274.46","504,623.16"
201,Biológicos,2009,Emergencia ambiental,"Royal Transports, S.A. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,La Reforma,"Km 180+700 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,6,3.6,"3,166,276.46","504,833.93"
2262,Biológicos,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.","Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 180+500 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2021,176.45,176.45,"3,166,377.24","504,930.97"
1099,Biológicos,2012,Emergencia ambiental,"Autotanques Foráneos, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 180+500 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,81.64,98.54,"3,166,205.01","505,013.41"
775,Biológicos,2011,Emergencia ambiental,"Transportes Especializados Gajha, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 180+100 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2012,200,140,"3,165,903.20","505,327.19"
2286,Biológicos,2021,Emergencia ambiental,"III Servicios, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+000 carretera Tehuantepec-Oaxaca ,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2023,219,284.7,"3,163,726.12","505,790.62"
373,Biológicos,2009,Emergencia ambiental,"Tractofletes Especializados, S.A. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 177+050 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2011,956,1147.2,"3,163,723.38","505,803.50"
101,Biológicos,2008,Emergencia ambiental,"Sociedad Cooperativa de Autotransportes 13 de Julio, S.C.L.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santo Domingo Tehuantepec,"Km 177+066 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija,"Transporte terrestre de pasajeros, excepto por ferrocarril",Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,643,385,"3,163,732.92","505,812.07"
643,Biológicos,2011,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 177+020 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo el Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2011,321,385.95,"3,163,729.78","505,831.95"
2261,Biológicos,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.","Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+000 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2021,446.2,401.21,"3,163,721.67","505,833.50"
526,Biológicos,2010,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,San Carlos Yautepec,"Km 173+500 camino nacional No. 190, México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2011,370,370,"3,161,234.07","507,046.58"
562,Biológicos,2010,Emergencia ambiental,"Autotanques Nacionales, S.A. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 174+450 carretera federal No. 190, México-Ciudad Cuauhtémoc tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2011,87.5,75.5,"3,161,745.73","507,114.91"
428,Combinación de procesos biológicos-físicos,2010,Emergencia ambiental,Eusebio Santana Vega,"Germen, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 174+300 carretera federal No.190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Otro autotransporte local de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2010,329.53,381.2,"3,161,693.03","507,141.99"
299,Biológicos,2009,Emergencia ambiental,"Tractofletes Especializados, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santa María Jalapa del Marqués,"Km 224+600 carretera No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2009,113.6,90.88,"3,203,803.32","509,023.98"
581,Biológicos,2010,Emergencia ambiental,"Transportadores de Líquidos Químicos, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Santa María Ecatepec,"Km 173+600 camino nacional No. 190, México-Ciudad Cuauhtémoc, tramo el Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2011,139.29,139.29,"3,161,222.37","507,181.32"
67,Biológicos,2008,Emergencia ambiental,Luis Enrique Kanther Mijangos,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Chiapas,Acala,Km 048+700 camino nacional No. 190 México-Ciudad Cuauhtémoc,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,1507.9,746.4,"3,484,366.86","525,438.98"
615,Biológicos,2010,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,San Bartolo Yautepec,"Km 168+700 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2012,80,36,"3,158,168.20","508,325.01"
124,Biológicos,2008,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santo Domingo Zanatepec,"Km 058+600 carretera No.190 México-Ciudad Cuauhtémoc, tramo entronque Guamol-Tapanatepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,132,212.6,"3,308,904.43","523,076.28"
269,Biológicos,2009,Emergencia ambiental,"Transportes Especializados Gajha, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Chiapas,Cintalapa,"Km 051+200 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo Cintalapa-límite del estado de Chiapas",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,162.5,279.25,"3,366,858.04","530,872.83"
1264,Biológicos,2012,Emergencia ambiental,"Transportes Auto Tanques Ochoa, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Nejapa de Madero,"Km 143+600 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2015,202.58,432.28,"3,144,697.36","520,443.71"
2037,Biológicos,2018,Emergencia ambiental,"Transportes Auto Tanques Ochoa, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,San Juan Lajarcia,Km 143+500 carretera federal No. 190 Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2022,75,30,"3,144,703.95","520,451.10"
214,Biológicos,2009,Emergencia ambiental,María Carlota Robles Ramírez,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Oaxaca,Santiago Niltepec,"Km 043+000 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo La Ventosa-entronque Guamol",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2010,185.05,370,"3,293,810.82","527,506.62"
274,Biológicos,2009,Emergencia ambiental,"Autotransportes Apolo, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,San Carlos Yautepec,Km 139+700 del camino nacional No. 190 México-Ciudad Cuauhtémoc,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2010,133,140,"3,142,446.77","520,474.15"
1575,Biológicos,2014,Emergencia ambiental,Joselito Chirito del Solar,"Isali, S.A. de C.V.",Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Km 079+800 camino nacional No. 185 Coatzacoalcos-Salina Cruz, Ramal 1-libramiento La Ventosa",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2016,127.8,492.03,"3,257,543.20","528,644.00"
119,Biológicos,2008,Emergencia ambiental,María del Carmen Zepeda Martínez,"Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Oaxaca,Santiago Niltepec,"Km 014+000 carretera México-Ciudad Cuauhtémoc, tramo La Ventosa-Entidad Guamol",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2009,199.43,159.53,"3,266,371.05","529,245.96"
1972,Biológicos,2018,Emergencia ambiental,"Transportadora San Germán, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Km 235+800 carretera federal No. 185 Coatzacoalcos-Salina Cruz, tramo Acayucan-La Ventosa",Derrame,Otro autotransporte foráneo de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2019,363,492,"3,253,229.34","532,222.43"
211,Biológicos,2009,Emergencia ambiental,"Transportadores del Sureste, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Oaxaca,San Pedro Totolápam,"Km 091+200 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2010,390,273,"3,115,075.22","533,114.89"
1352,Biológicos,2012,Emergencia ambiental,Mario Murcio Hernández,"Ecología 2000, S.A. de C.V.",Oaxaca,San Pedro Totolápam,"Km 108+150 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2014,66.4,125.84,"3,125,208.02","533,745.12"
395,Biológicos,2009,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.","Isali, S.A. de C.V.",Oaxaca,San Pedro Totolápam,"Km 092+125 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2010,326,381,"3,115,704.44","533,402.80"
1116,Biológicos,2012,Emergencia ambiental,"Autotransportes Martínez, S.A. de C.V.",Ana Lilia Sánchez Hernández,Oaxaca,San Pedro Totolápam,"Km 090+240 carretera federal No. 190 México-Ciudad Cuauhtémoc, tramo Totolápam-El Camarón",Derrame,Otro autotransporte local de carga general,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2013,207,154.8,"3,114,765.51","533,431.14"
