No. de registro,Clasificación de técnica o proceso de tratamiento,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Responsable técnico de la remediación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Técnica o proceso de tratamiento,Año de conclusión de la remediación,Área de suelo remediado m²,Volumen de suelo remediado m³,x,y
1200,Térmicos,2012,Pasivo ambiental,Pemex Exploración y Producción,"ADT Petroservicios, S.A. de C.V.",San_Luis_Potosí,Ebano,"Área Temporal (Zona 1), el sitio se ubica en el Ejido Ajinche",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de fracción media y pesados,Hidrocarburos,Desorción térmica,2016,96724.5,49997.7,"2,873,094.93","1,135,461.09"
757,Biológicos,2011,Emergencia ambiental,"Fletes Industriales Mexicanos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",San_Luis_Potosí,San Luis Potosí,"Km 033+200 carretera estatal No. 32, en el cruce carretera federal No. 49 con el Anillo Periférico",Derrame,Autotransporte foráneo de materiales para la construcción,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2012,143.48,116.97,"2,600,629.54","1,131,247.11"
796,Químicos,2011,Pasivo ambiental,Pemex Exploración y Producción,"Geo Estratos, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Pánuco,Estación 6 Internacional sitio ubicado aproximadamente a 1.0 kilómetro de la comunidad Vicente Guerrero,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de fracción media y pesados,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2016,3139.79,1724.13,"2,879,844.14","1,136,518.75"
849,Químicos,2011,Pasivo ambiental,Pemex Exploración y Producción,"Cemex México,  S.A. de C.V.",San_Luis_Potosí,Ebano,Presa Dicha 113-A sitio ubicado aproximadamente a 1.2 kilómetros al este de Ébano,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2016,117.42,14.19,"2,873,922.93","1,136,926.90"
1016,Biológicos,2011,Pasivo ambiental,Pemex Exploración y Producción,"Consorcio Especializado en Medio Ambiente, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Pánuco,Área Estación Paciencia 1015 sitio ubicado aproximadamente a 3.5 kilómetros de la Estación Méndez,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de fracción media y pesados,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2013,2829.42,2705.89,"2,890,521.05","1,137,570.31"
97,Biológicos,2008,Emergencia ambiental,"Fletes Especializados de Monterrey, S.A. de C.V.","Integración de Servicios Ambientales & Limpieza Industrial, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Pánuco,Km 004+950 de la parte baja de Puente Prieto de la carretera Tampico-Valles,Derrame,Autotransporte foráneo de materiales para la construcción,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2010,923,289.05,"2,915,798.05","1,138,476.20"
851,Químicos,2011,Pasivo ambiental,Pemex Exploración y Producción,"Cemex México,  S.A. de C.V.",San_Luis_Potosí,Ebano,Presa Dicha 166-A ubicado a una distancia aproximada de 1.1 kilómetros de la ciudad de Ébano,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de fracción media,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2016,428.51,188.83,"2,873,885.85","1,137,408.88"
2062,Químicos,2019,Emergencia ambiental,"Corporativo Químico Global, S.A. de C.V.","Ecología 2000, S.A. de C.V.",San_Luis_Potosí,Villa Juárez,Km 042+000 supercarretera No.75 Rioverde-San Luis Potosí,Derrame,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho","Ácidos, bases",Ácidos y bases,Neutralización química a un lado del sitio contaminado,2020,350,105,"2,684,288.97","1,133,831.40"
2182,Biológicos,2019,Emergencia ambiental,"Transportes Especializados del Nayar, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Nayarit,Rosamorada,"Km 090+840 autopista Tepic-Mazatlán, en el tramo Acaponeta Rosamorada",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2020,916,695.3,"2,162,291.02","1,137,212.08"
427,Disposición final,2010,Emergencia ambiental,"Transportes Industriales Sotomex, S.A. de C.V.","Isali, S.A. de C.V.",Aguascalientes,Asientos,Km 021+050 carretera Rincón de Romos-Ciénega Grande,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Metales,Metales y metaloides,Disposición final fuera del sitio,2010,100,28.9,"2,486,790.05","1,133,621.35"
1052,Químicos,2012,Pasivo ambiental,Pemex Exploración y Producción,"ADT Petroservicios, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Pánuco,A 3.1 km de Chijol Diecisiete ,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,Oxidación química a un lado del sitio contaminado,2016,353.25,165.67,"2,884,623.68","1,138,737.20"
